,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","09/24/2025",1,0,1,2.00,2.00
,"08/20/2025","POD-251188","Centre de technologies avancées BRP- CTA","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","09/17/2025",1,0,1,2.00,2.00
,"08/21/2025","POD-251191","Near Earth Autonomy",,"DtC-M12-WP  M12 waterproof cover.","09/10/2025",6,0,6,12.00,12.00
,"09/04/2025","POD-251261","Carnegie Robotics LLC","Neousys Technology Incorp.","DtC-M12-WP  M12 waterproof cover.","10/08/2025",18,0,18,36.00,36.00
"Total DtC-M12-WP",,,,,,,30,0,30,60.00,60.00
"DtC-M12M-WP",,,,,,,,,,,
,"08/18/2025","POD-251173","Navico Group Americas LLC","Neousys Technology Incorp.","DtC-M12M-WP  M12 male waterproof cover.","09/24/2025",4,0,4,12.00,12.00
"Total DtC-M12M-WP",,,,,,,4,0,4,12.00,12.00
"DtC-SMA-WP",,,,,,,,,,,
,"08/07/2025","POD-251130","RIOS Intelligent Machines, Inc.","Neousys Technology Incorp.","DtC-SMA-WP  Dust cover for waterproof LTE/ WiFi connector.","09/10/2025",3,0,3,6.00,6.00
"Total DtC-SMA-WP",,,,,,,3,0,3,6.00,6.00
"Gpubr-Nuvo9160-01",,,,,,,,,,,
